Title,URL,Date Published,Authors,Abstract
Navigating digital divide: exploring the influence of ideological and political education on cyber security and digital literacy amid information warfare,https://link.springer.com/article/10.1007/s12144-024-06106-1,23 May 2024,Baihang Huang,"This study investigates the intricate relationship between ideological and political education (IPE), cyber security, and digital literacy within the context of online information warfare, aiming to shed light on strategies for navigating the digital divide. Utilizing a quantitative research approach and convenience sampling, data were collected through a meticulously crafted online survey from a diverse range of participants, including students, professionals, and other individuals. Analysis of the data, conducted using SPSS software and Smart-PLS 3, revealed several significant findings. Firstly, there exists a pronounced disparity in access to diverse online information based on individuals’ levels of IPE. Additionally, media literacy skills exhibit significant variation across different levels of IPE. Furthermore, the study elucidates how IPE influences individuals’ propensity to engage in online echo chambers and their susceptibility to cyber security vulnerabilities. Finally, it underscores the role of IPE in shaping digital participation and civic engagement. Overall, this research contributes novel insights into the complex dynamics of online information warfare and highlights the pivotal role of ideological and political education in mitigating the digital divide. This study underscores the critical importance of IPE in shaping individuals’ digital literacy, cyber security awareness, and engagement with online information environments. By elucidating the impact of IPE on navigating the digital divide, this research contributes valuable insights for policymakers, educators, and stakeholders seeking to foster a more informed, resilient, and inclusive digital society."
Retaliating against cyber-attacks: a decision-taking framework for policy-makers and enforcers of international and cybersecurity law,https://link.springer.com/article/10.1365/s43439-024-00113-5,27 March 2024,"Sozon Leventopoulos, Kosmas Pipyros, Dimitris Gritzalis","Cyber warfare is a reality taking on increasing importance. Governments, state-sponsored actors, and non-state sponsored actors have used cyber-attacks as the “weapon of choice” due to their specific characteristics. Cyber-attacks can be highly targeted and focused, even tailored to a specific unit or system, providing limited to no physical destruction (unlike a cruise missile) and potentially resulting in no loss of life. There are several incident response frameworks and approaches that an organization can implement to enhance its security posture. Usually, these will address specific adverse events such as computer security incidents, which in turn are limited in scope and coverage, typically within an organization. Nations have made limited effort in confronting severe cyber-attacks targeting and/or threatening them, as well as in preventing these attacks from being launched. In this work, we identify and discuss a decision-taking framework that may allow state actors to adopt new options against severe cyber-attacks, not always complying with international norms. Such options are neither encouraged nor supported. On the contrary, we discuss them so that the international community is made aware of such potential frameworks. More specifically, by defining clear thresholds, roles, and responsibilities, by introducing a structured chain of command, and by identifying the potential of certain actions, policy makers can recognize an extended decision space that may lead to unpredictable deterrence options against cyber-attacks."
Cognitive warfare: an ethical analysis,https://link.springer.com/article/10.1007/s10676-023-09717-7,04 September 2023,Seumas Miller,"This article characterises the nature of cognitive warfare and its use of disinformation and computational propaganda and its political and military purposes in war and in conflict short of war. It discusses both defensive and offensive measures to counter cognitive warfare and, in particular, measures that comply with relevant moral principles."
Modelling the dynamics of information warfare: an attacker-defender scenario using Lotka-Volterra equations,https://link.springer.com/article/10.1007/s41870-024-02245-7,22 October 2024,"Rashmikiran Pandey, Mrinal Pandey, Alexey Nikolaevich Nazarov","The dynamics of information warfare in an attacker-defender scenario pose significant challenges in today’s digital age. To address these challenges, this research models the dynamics of information warfare using modified Lotka-Volterra equations, adapted from predator-prey interactions, to simulate the interactions between attackers and defenders. The model captures the growth, interaction, and feedback loops of both populations, offering insights into their dynamics over time. By incorporating the attacker’s growth rate and the defender’s natural decline rate, and discretizing time for real-time simulation, the study reveals how attacker populations initially grow but decline as defenders enhance their countermeasures. The defender population stabilizes as their defensive capabilities improve, demonstrating the model’s effectiveness in representing the complex dynamics of information warfare."
AI and Warfare: A Rational Choice Approach,https://link.springer.com/article/10.1057/s41302-024-00280-7,19 June 2024,Atin Basuchoudhary,"Artificial intelligence has been a hot topic in recent years, particularly as it relates to warfare and military operations. While rational choice approaches have been widely used to understand the causes of war, there is little literature on using the rational choice methodology to investigate the role of AI in warfare systematically. This paper aims to fill this gap by exploring how rational choice models can inform our understanding of the power and limitations of AI in warfare. This theoretical approach suggests (a) an increase in the demand for moral judgment due to a reduction in the price of AI and (b) that without a human in the AI decision-making loop, peace is impossible; the very nature of AI rules out peace through mutually assured destruction."
A cyber warfare perspective on risks related to health IoT devices and contact tracing,https://link.springer.com/article/10.1007/s00521-021-06720-1,20 January 2022,"Andrea Bobbio, Lelio Campanile, Marco Gribaudo, Mauro Iacono, Fiammetta Marulli, Michele Mastroianni","The wide use of IT resources to assess and manage the recent COVID-19 pandemic allows to increase the effectiveness of the countermeasures and the pervasiveness of monitoring and prevention. Unfortunately, the literature reports that IoT devices, a widely adopted technology for these applications, are characterized by security vulnerabilities that are difficult to manage at the state level. Comparable problems exist for related technologies that leverage smartphones, such as contact tracing applications, and non-medical health monitoring devices. In analogous situations, these vulnerabilities may be exploited in the cyber domain to overload the crisis management systems with false alarms and to interfere with the interests of target countries, with consequences on their economy and their political equilibria. In this paper we analyze the potential threat to an example subsystem to show how these influences may impact it and evaluate a possible consequence."
Tactics and affordances in the mediatization of war: pro-Ukrainian cyber resistance on Telegram,https://link.springer.com/article/10.1057/s42984-024-00096-x,07 October 2024,"Richard Noel Canevez, Kateryna Maikovska, Lara Zwarun","When Russia escalated its invasion of Ukraine in February 2022, pro-Ukrainian resisters around the world took to cyber and digital spaces to support Ukraine’s cause. Social media platform Telegram played a vital role in coordinating and mobilizing action transnationally, foregrounding the impact of platform design and use in the trajectory of war’s mediatization. Our study contributes to empirical research and theory around cyber resistance tactics and platform affordances. We use qualitative thematic analysis to examine Telegram posts from the first two months of the full-scale invasion on select pro-Ukrainian resistance channels, identifying a range of tactics constructed within Telegram. This includes a phenomenon of “kitting” whereby capable members and moderators provide tools and templates, along with guidance, to participants to lower the access barrier to cyber resistance. We discuss Telegram’s affordances in relation to these tactics and, noting how Telegram is used to coordinate action on other social media, we propose a model of user-affordances interaction in a multiplatform media environment. Lastly, we provide suggestions for designers and policymakers regarding platform designs in broadly coordinated cyber resistance."
Cyber range design framework for cyber security education and training,https://link.springer.com/article/10.1007/s10207-023-00680-4,18 March 2023,"M. N. Katsantonis, A. Manikas, I. Mavridis, D. Gritzalis","The need for effective training of cyber security personnel working in critical infrastructures and in the corporate has brought attention to the evolution of Cyber Ranges (CRs) as learning and training tools. Although CRs have been organized for many years, there is a lack of standards and common methodologies that facilitate their development and optimize their effectiveness. Aiming at strengthening cyber security education and research that utilize well designed CRs, we first analyze the CRs domain to identify key characteristics, strengths and fundamental weaknesses, and based on these outcomes we propose the Cyber Range Design Framework (CRDF), which includes the CR Architecture and the CR Life-Cycle. The CR Architecture presents the main components of CRDF compliant CRs, whereas the CR Life-Cycle presents the development phases of such approaches and the activities these phases embrace. CRDF builds on the Conceptual Framework for eLearning and Training (COFELET) and on the Exercise Life-Cycle. COFELET is particularly elaborated for the development of cyber security educational approaches, by adopting its design considerations that were based on widely adopted educational theories and approaches (e.g., scenario-based, reuse of elements). CRDF envisages the elaboration of CRs which optimize their impact, mitigate their weaknesses, and minimize their preparation and running costs. Under this prism, a preliminary appreciation of the CRDF approaches effectiveness is presented along with the expected outcomes of such approaches."
‘“Son – you’ll be a soldier one day”: reconceptualising YouTube discourses on participation in memetic warfare’,https://link.springer.com/article/10.1057/s42984-022-00051-8,23 September 2022,Timothy Noël Peacock,"“Son – you’ll be a soldier one day”, one of thousands of comments on a YouTube video about using memes (particularly viral images) in war. Memes have grown in global importance, from their central propaganda/morale-influencing role in the War in Ukraine to political campaign conflicts around major issues to virtual ‘battles’ involving online communities. However, while citizen participation in discourses concerning conflict has been receiving increased attention, such wider participation around meme conflict remains under-explored in scholarship. The online audio-visual and textual discourse around memetic warfare is important both in understanding wider public views of conflict, and, particularly in this case, given the blurring of distinctions in which acts of speech or creating videos may themselves involve directly contributing to meme ‘warfare’. This article will aim to map emerging perceptions of this digital participation, including how views of memetic warfare are framed by particular historical analogies and tropes from popular culture. The research draws on comments of selected YouTube videos on memetic warfare. The new framework adopted may serve as a basis for future investigation of online public debates and attitudes towards memetic or other forms of technological innovation in war, such as broader definitions of cyber, drone, or space security."
Anomaly detection in cyber-physical systems using actuator state transition model,https://link.springer.com/article/10.1007/s41870-024-02128-x,23 August 2024,"Rajneesh Kumar Pandey, Tanmoy Kanti Das","Cyber-physical systems (CPS) are vulnerable to cyber attacks which disrupt the operations of the associated physical process. Sensors are deployed in CPS to observe its functioning and control systems like actuators, Remote Terminal Units (RTU), programmable logic controllers (PLC), etc., are used to change the state of the CPS. Any abnormal state transitions due to cyber attack or natural fault may not be detected by the traditional Intrusion Detection System (IDS). Behavior specification-based IDS, which employs laws of physics to detect the intrusion, may be helpful in this context. However, specifying acceptable behaviors based on the laws of physics for all the installed control systems for a complex CPS like a smart grid, water treatment plant, etc., is a challenging task. Here, we employ a data-driven strategy to model the behavior of each control system installed in a CPS. Later, we use the models to predict the acceptable states of all the control systems. We utilize an AI-based classifier to model control systems such as actuators. Subsequently, we juxtapose the actual states of the actuators with their predicted states, examining how this combination correlates with the overall state of the CPS to identify anomalies. Typically, there should be a strong correlation between predicted and actual states, making the Hamming distance between them a crucial factor in our experimentation. To establish the relationship between controller states and CPS states, we employ a novel deep neural network-based approach for classification. Experimental validation of our approach leverages data from a water treatment testbed, where we achieve superior performance compared to the most state-of-the-art methods, achieving aF1-scoreof0.96."
