Title,URL,Date Published,Authors,Abstract,Preprocessed_Abstract,accuracy,address,ai,aim,algorithm,analysis,application,approach,architecture,assessment,attack,awareness,base,business,challenge,cloud,communication,compute,conduct,control,cps,cyber,cyberattacks,cyberphysical,cybersecurity,data,design,detection,development,different,digital,domain,enhance,environment,exist,feature,focus,framework,healthcare,identify,impact,implement,improve,include,increase,industry,information,infrastructure,intelligence,internet,iot,issue,knowledge,learn,level,machine,make,management,measure,method,model,need,network,new,organization,paper,performance,physical,potential,present,problem,process,propose,provide,require,research,result,risk,secure,security,service,significant,skill,social,solution,strategy,study,suggest,support,technique,technology,threat,time,traffic,training,use,user,various,vulnerability,work
Perceptions and dilemmas around cyber-security in a Spanish research center after a cyber-attack,https://link.springer.com/article/10.1007/s10207-024-00847-7,04 April 2024,"Joaquín Navajas-Adán, Eulàlia Badia-Gelabert, Laura Jiménez-Saurina, Mª Jesús Marijuán-Martín, Rafael Mayo-García","Information and Communication Technologies and Internet networks are present in all aspects of social reality and are essential elements in research, development and innovation centers (R&D&I). Cyber-security is crucial for the progress of the research activities developed in these centers, especially given the exponential growth of cyber-attacks and incidents. The present study aims to assess from a socio-technical approach, how a serious cyber-attack on a Spanish research center has affected staff’s perceptions of information and communication systems (ICT) security. This study employed a mixed-methods research strategy, combining quantitative and qualitative methods to provide a comprehensive and nuanced understanding of ICT security perceptions among employees. First a quantitative scale was administered to 1,321 employees 3 years before the cyber-attack and 4 months afterward, to measure ICT security perceptions. Then, qualitative techniques (semi-structured interviews, focus groups, and micro-ethnography) were applied to gain a deeper understanding of the arguments underpinning cyber-security at the center after the attack. The results show that the event had an impact on employees’ perceptions, increasing the perceived importance of ICT security, with positive behavioral changes noted, but with doubts about their sustainability over time. Also, the need for cyber-security governance was critically contrasted with organizational reality. Finally, the compatibility of science and cyber-security was a central dilemma, which seems to confront antagonistic poles (research and security ICT) and justify the non-compliance with security protocols by part of the staff.",information communication technology internet network present aspect social reality essential element research development innovation center rdi cybersecurity crucial progress research activity developed center especially give exponential growth cyberattacks incident present study aim ass sociotechnical approach serious cyberattack spanish research center affected staff perception information communication system ict security study employ mixedmethods research strategy combine quantitative qualitative method provide comprehensive nuanced understand ict security perception among employee first quantitative scale administer employee year cyberattack month afterward measure ict security perception qualitative technique semistructured interview focus group microethnography apply gain deeper understand argument underpin cybersecurity center attack result show event impact employee perception increase perceive importance ict security positive behavioral change note doubt sustainability time also need cybersecurity governance critically contrast organizational reality finally compatibility science cybersecurity central dilemma seem confront antagonistic pole research security ict justify noncompliance security protocol part staff,0.0,0.0,0.0,0.11798233321130484,0.0,0.0,0.0,0.10002863863468266,0.0,0.0,0.08586422452262571,0.0,0.0,0.0,0.0,0.0,0.24417547794990965,0.0,0.0,0.0,0.0,0.0,0.12427638134567348,0.0,0.43602194369197494,0.0,0.0,0.0,0.12427638134567348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13149460075372515,0.0,0.0,0.0,0.12427638134567348,0.0,0.0,0.0,0.11067467445769516,0.0,0.19735922651258025,0.0,0.0,0.11999225906569372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12656685694026384,0.10002863863468266,0.0,0.12656685694026384,0.09867961325629013,0.0,0.0,0.0,0.0,0.0,0.0,0.2248048856564138,0.0,0.0,0.0,0.09362529778908761,0.0,0.4933980662814506,0.0948410718109368,0.0,0.0,0.3327837806715316,0.0,0.0,0.0,0.16309714089707286,0.0,0.12896910635400483,0.17591940886377358,0.0,0.0,0.11067467445769516,0.10141566968550692,0.0,0.13697094462927836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maritime decision-makers and cyber security: deck officers’ perception of cyber risks towards IT and OT systems,https://link.springer.com/article/10.1007/s10207-023-00810-y,02 February 2024,"Marie Haugli-Sandvik, Mass Soldal Lund, Frøy Birte Bjørneseth","Through a quantitative study of deck officers’ cyber risk perceptions towards information (IT) and operational (OT) systems, this paper contributes to substantiate the importance of considering human behaviour within maritime cyber security. Using survey data from 293 deck officers working on offshore vessels, statistical analyses were conducted to measure and predict the participants cyber risk perceptions towards IT and OT systems. Performing a Wilcoxon signed-rank test revealed a significant discrepancy in the levels of cyber risk perception between the system categories. Hierarchical regression analyses were conducted to develop statistical models, considering multiple independent variables, including perceived benefit, cyber security training, experience with cyber-attacks, and trust towards various stakeholders. Key findings revealed distinct results for IT and OT systems, and the regression models varied in both predictive power and significance of the independent variables. Perceived benefit positively predicts deck officers cyber risk perception for both IT and OT systems, while trust, which included measures of social trust and confidence, was not found to be significant. Cyber security training and experience with cyber-attacks only influence deck officers’ perception of cyber risks related to operational technology. Practical implications of this work provide actionable recommendations for the maritime industry, including tailored risk communication tools, training programs, reporting systems, and holistic policies.",quantitative study deck officer cyber risk perception towards information operational ot system paper contributes substantiate importance consider human behaviour within maritime cyber security use survey data deck officer work offshore vessel statistical analysis conduct measure predict participant cyber risk perception towards ot system perform wilcoxon signedrank test reveal significant discrepancy level cyber risk perception system category hierarchical regression analysis conduct develop statistical model consider multiple independent variable include perceive benefit cyber security training experience cyberattacks trust towards various stakeholder key finding reveal distinct result ot system regression model varied predictive power significance independent variable perceive benefit positively predicts deck officer cyber risk perception ot system trust include measure social trust confidence found significant cyber security training experience cyberattacks influence deck officer perception cyber risk related operational technology practical implication work provide actionable recommendation maritime industry include tailor risk communication tool training program reporting system holistic policy,0.0,0.0,0.0,0.0,0.0,0.185104083258557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09577255502988996,0.0,0.21957867814399448,0.0,0.0,0.4312308020170751,0.1949789007688273,0.0,0.0,0.06578007342198394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25653027863661465,0.0,0.10744778666672351,0.07740989201917359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11780915741409212,0.0,0.0,0.0,0.19857245900439305,0.0,0.14143496435423816,0.0,0.0,0.0,0.0,0.0716054244039279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07344499996461291,0.0,0.0,0.07439872214334331,0.49810422518821607,0.0,0.13052724710528568,0.0,0.18825748320046184,0.0,0.12794265855793244,0.0,0.0,0.06900058682259538,0.0,0.0,0.0,0.07955621004530891,0.0,0.0,0.0,0.36270212942257646,0.05685366382313566,0.0,0.10117069035063787,0.0,0.185104083258557
Australia’s cyber security reform—an update,https://link.springer.com/article/10.1365/s43439-023-00087-w,08 May 2023,Dan Jerker B. Svantesson,"The 2023–2030 Australian Cyber Security Strategy aims to make Australia a world-leader in cyber security by 2030. It will, thus, be a significant document, and monitoring its development is of importance. This brief note examines the issues raised in the Discussion Paper that will shape the 2023–2030 Australian Cyber Security Strategy.",australian cyber security strategy aim make australia worldleader cyber security thus significant document monitoring development importance brief note examines issue raise discussion paper shape australian cyber security strategy,0.0,0.0,0.0,0.25475370614499593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4451184021057394,0.0,0.0,0.0,0.0,0.0,0.0,0.2683441484192106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24270531113291272,0.0,0.0,0.0,0.0,0.24657169095936704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19709718906098403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35928218727112304,0.0,0.25909364456242967,0.0,0.0,0.0,0.5569538578805243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A modular cyber security training programme for the maritime domain,https://link.springer.com/article/10.1007/s10207-023-00799-4,03 January 2024,"Aybars Oruc, Nabin Chowdhury, Vasileios Gkioulos","The global maritime industry is continuing the rapid digitization of systems and dependency on advancing technology, in a trend akin to other industrial domains. One of the main issues that this integration has brought is an increased vulnerability to a growing number of cyber threats. While several security measures are being implemented to prevent or respond to cyber attacks, the human element is still one of the main weaknesses. Many of today’s cyber attacks take advantage of human personnel’s lack of awareness, which makes cyber security awareness and training activities of critical importance. Unfortunately, current research is still limited in its offerings for cyber security training specific to maritime personnel. Moreover, such training programmes for the professionals should be developed role-based in accordance with the suggestions of many credited maritime organizations. For this reason, we developed a modular cyber security training programme for the maritime domain called Maritime Cyber Security (MarCy) by implementing Critical Events Model (CEM). Then, we evaluated the MarCy programme by utilizing the Delphi technique with the participation of 19 experts from academia and industry. In this study, we offer cyber security training for seafarers and office employees in shipping companies. We proposed eleven elective modules to improve the knowledge, skills, and attitude of learners against cyber risks. The MarCy programme can be implemented by universities, shipping companies, training institutes, and governmental organizations for maritime cyber security training purposes.",global maritime industry continue rapid digitization system dependency advance technology trend akin industrial domain one main issue integration brought increase vulnerability grow number cyber threat several security measure implement prevent respond cyber attack human element still one main weakness many today cyber attack take advantage human personnel lack awareness make cyber security awareness training activity critical importance unfortunately current research still limited offering cyber security training specific maritime personnel moreover training programme professional developed rolebased accordance suggestion many credit maritime organization reason developed modular cyber security training programme maritime domain call maritime cyber security marcy implement critical event model cem evaluate marcy programme utilize delphi technique participation expert academia industry study offer cyber security training seafarer office employee shipping company propose eleven elective module improve knowledge skill attitude learner cyber risk marcy programme implement university shipping company training institute governmental organization maritime cyber security training purpose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10789854040181018,0.18871800845912653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4317417886330182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175871094187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26380664128108805,0.07808397634851699,0.0,0.0695379006787869,0.1721201709457232,0.0,0.0,0.0,0.0,0.0,0.0706234731996306,0.09683517681046486,0.0,0.0,0.0,0.07174852963444282,0.0,0.07952310291639945,0.0,0.0566410230437371,0.0,0.0,0.0,0.175871094187392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058080149611619565,0.0,0.0,0.06200129505020555,0.0,0.06649259378891612,0.0,0.24393957516880724,0.0,0.0,0.1093785003984759,0.0,0.0,0.0,0.05526587921302637,0.0,0.0,0.0695379006787869,0.06372038409346413,0.060372727336772354,0.0,0.0,0.6778462376732541,0.0,0.0,0.0,0.08429185322245385,0.0
Proposing the future skill requirements for maritime cyber security,https://link.springer.com/article/10.1007/s10111-024-00760-y,04 April 2024,"Omer Soner, Cagatay Kandemir","In maritime transportation, many onboard ships operations have been digitalized. The usage and implementation of information systems has offered new opportunities while also introducing new types of risk. Cyber security is one of the most significant challenges that maritime information systems have faced. These most recent changes and technological developments necessitate the identification of new competencies and skillsets in order for seafarers to take steps to protect themselves and the assets they are responsible for against the consequences of cyber-attacks. The present study is aimed at determining the future skill requirements for maritime cyber security to fulfill the inconsistencies between current and actual marine transportation demands. In the paper, the skill requirements for cyber security are comprehensively analyzed in terms of information and operational technology implementations and their regulatory requirements. The AHP technique is then used to establish the priorities of three categories as well as the skills within each category. Considering the strong relations between seafarer training and maritime safety, determining future skill requirements will improve overall maritime safety and security. Therefore, the present study contributes to a great extent, not just to maritime safety literature but also to the maritime industry.",maritime transportation many onboard ship operation digitalize usage implementation information system offer new opportunity also introduce new type risk cyber security one significant challenge maritime information system face recent change technological development necessitate identification new competency skillsets order seafarer take step protect asset responsible consequence cyberattacks present study aim determine future skill requirement maritime cyber security fulfill inconsistency current actual marine transportation demand paper skill requirement cyber security comprehensively analyze term information operational technology implementation regulatory requirement ahp technique use establish priority three category well skill within category consider strong relation seafarer training maritime safety determine future skill requirement improve overall maritime safety security therefore present study contributes great extent maritime safety literature also maritime industry,0.0,0.0,0.0,0.11546645424418034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1100055505641895,0.0,0.0,0.0,0.0,0.0,0.0,0.20174875721231814,0.1216262868321335,0.0,0.0,0.0,0.0,0.0,0.1216262868321335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216262868321335,0.0,0.0,0.13405014869890122,0.28972604809782826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3407296454087122,0.0,0.08933378794267133,0.0,0.0,0.0,0.220011101128379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10357115073503612,0.0,0.21712495500093457,0.0,0.11743352003600815,0.6814868547859919,0.0,0.0,0.0,0.17216806806025967,0.0,0.0,0.10831462547338852,0.09925306157839614,0.0,0.0,0.0,0.15083380151673909,0.07092972620467174,0.0,0.0,0.0,0.0
A systematic literature review of mitigating cyber security risk,https://link.springer.com/article/10.1007/s11135-023-01791-9,18 December 2023,"Syafila Kamarudin, Lian Tang, Jusang Bolong, Nor Azura Adzharuddin","Increasing internet consumption and constant technological development, specifically smartphones, have led to an increasingly urgent need for cyber awareness. Generally, smartphone cyber security is an established field and has inspired numerous relevant studies. Unfortunately, most past studies lacked focus on cyber security research in the form of a systematic literature search of smartphone use by the worldwide community. Therefore, this study reviewed past studies on mitigating cyber security risk in highly technology-dependent communities using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 guidelines and the Web of Science, Scopus, ScienceDirect, and Google Scholar online databases. The search strategy yielded 23 articles in total for inclusion in the systematic analysis. The thematic analysis yielded three themes: awareness, knowledge, and behavior, which in turn revealed 10 sub-themes. Finally, recommendations were suggested for reference by future scholars.",increase internet consumption constant technological development specifically smartphones lead increasingly urgent need cyber awareness generally smartphone cyber security establish field inspire numerous relevant study unfortunately past study lack focus cyber security research form systematic literature search smartphone use worldwide community therefore study review past study mitigate cyber security risk highly technologydependent community use prefer reporting item systematic review metaanalyses prisma guideline web science scopus sciencedirect google scholar online database search strategy yield article total inclusion systematic analysis thematic analysis yield three theme awareness knowledge behavior turn reveal subthemes finally recommendation suggest reference future scholar,0.0,0.0,0.0,0.0,0.0,0.31877061307907606,0.0,0.0,0.0,0.0,0.0,0.4057619548323332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37131462666210524,0.0,0.0,0.0,0.0,0.0,0.0,0.16788809474490662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17763936920869836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14951320621037775,0.0,0.0,0.0,0.0,0.1621005660169868,0.0,0.0,0.20820498774847396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17098235593493824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13330877581381673,0.0,0.1429655021158532,0.0,0.22478299695397183,0.0,0.0,0.0,0.0,0.0,0.17422761519343918,0.47530792356495344,0.17763936920869836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19581715274619516,0.0,0.0,0.0,0.0
Cyber range design framework for cyber security education and training,https://link.springer.com/article/10.1007/s10207-023-00680-4,18 March 2023,"M. N. Katsantonis, A. Manikas, I. Mavridis, D. Gritzalis","The need for effective training of cyber security personnel working in critical infrastructures and in the corporate has brought attention to the evolution of Cyber Ranges (CRs) as learning and training tools. Although CRs have been organized for many years, there is a lack of standards and common methodologies that facilitate their development and optimize their effectiveness. Aiming at strengthening cyber security education and research that utilize well designed CRs, we first analyze the CRs domain to identify key characteristics, strengths and fundamental weaknesses, and based on these outcomes we propose the Cyber Range Design Framework (CRDF), which includes the CR Architecture and the CR Life-Cycle. The CR Architecture presents the main components of CRDF compliant CRs, whereas the CR Life-Cycle presents the development phases of such approaches and the activities these phases embrace. CRDF builds on the Conceptual Framework for eLearning and Training (COFELET) and on the Exercise Life-Cycle. COFELET is particularly elaborated for the development of cyber security educational approaches, by adopting its design considerations that were based on widely adopted educational theories and approaches (e.g., scenario-based, reuse of elements). CRDF envisages the elaboration of CRs which optimize their impact, mitigate their weaknesses, and minimize their preparation and running costs. Under this prism, a preliminary appreciation of the CRDF approaches effectiveness is presented along with the expected outcomes of such approaches.",need effective training cyber security personnel work critical infrastructure corporate brought attention evolution cyber range cr learn training tool although cr organize many year lack standard common methodology facilitate development optimize effectiveness aim strengthen cyber security education research utilize well design cr first analyze cr domain identify key characteristic strength fundamental weakness base outcome propose cyber range design framework crdf include cr architecture cr lifecycle cr architecture present main component crdf compliant cr whereas cr lifecycle present development phase approach activity phase embrace crdf build conceptual framework elearning training cofelet exercise lifecycle cofelet particularly elaborate development cyber security educational approach adopt design consideration base widely adopt educational theory approach eg scenariobased reuse element crdf envisages elaboration cr optimize impact mitigate weakness minimize preparation run cost prism preliminary appreciation crdf approach effectiveness present along expect outcome approach,0.0,0.0,0.0,0.10085579411058081,0.0,0.0,0.0,0.4275414593315818,0.2708202613092744,0.0,0.0,0.0,0.1892178579036835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2937004698704033,0.0,0.0,0.0,0.0,0.3245825163144206,0.0,0.3187085588659884,0.0,0.0,0.11963961877075686,0.0,0.0,0.0,0.0,0.0,0.20514791063707322,0.0,0.10436525139260887,0.10623618628866281,0.0,0.0,0.09318204298844858,0.0,0.0,0.0,0.11708798270602944,0.0,0.0,0.0,0.0,0.0,0.09460892895184175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10819417210480686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28825767357315824,0.0,0.0,0.0790202277388325,0.0,0.0,0.08435509356865742,0.0,0.0,0.0,0.14223812817228093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39524369905353296,0.0,0.0,0.0,0.0,0.10085579411058081
Cyber range scenario for smart grid security training,https://link.springer.com/article/10.1007/s00502-023-01146-0,14 July 2023,"Tomáš Lieskovan, David Kohout, Jakub Frolka","This paper discusses the development and use of a cyber range scenario for teaching cyber security in the energy sector, specifically in the smart grid. The scenario focuses on testing the DLMS standard for electricity metering using virtual smart meters and concentrators. The aim is to demonstrate the security issues of these devices, how they can be compromised, and to prevent the theft of sensitive personal data or, in extreme cases, even disconnection of the customer’s electricity. The paper describes the use of this scenario in a teaching context and highlights its importance in raising awareness of cyber security in the energy sector.",paper discus development use cyber range scenario teach cyber security energy sector specifically smart grid scenario focus test dlms standard electricity meter use virtual smart meter concentrators aim demonstrate security issue device compromise prevent theft sensitive personal data extreme case even disconnection customer electricity paper describes use scenario teach context highlight importance raise awareness cyber security energy sector,0.0,0.0,0.0,0.2410016713673027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30677015157478804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42109015993184395,0.0,0.0,0.0,0.1712885783855787,0.0,0.0,0.2538584786431208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26860308399450633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22960366904127233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372915100661647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3398875287630108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4441337359022426,0.0,0.0,0.0,0.0
Cyber-Security awareness and its contribution towards sustainable human development: insights from the Zimbabwean context,https://link.springer.com/article/10.1365/s43439-024-00120-6,29 April 2024,"Colletor Tendeukai Chipfumbu, Theo Tsokota, Tendayi Marovah","Focusing on citizens’ awareness of cyber-security, this paper contributes to debates on ICTs and their contribution towards human development. The paper philosophically argues for the importance of cyber-security and cybercrime awareness in fostering sustainable human development through the responsible and meaningful use of ICT. Using the overarching values of the human development framework (empowerment, participation and sustainability), the paper assesses government ICT policy documents and subsequent initiatives such as the establishment of community information centres and integration of ICT in the education sector. This was done to establish the extent to which citizens have been provided with prerequisite knowledge and skills to deal with cyber-crime. It emerged from the study that regardless of the effort by the Government of Zimbabwe (GoZ) to enforce a law which encourage a cyber-security culture, awareness about cyber-security remains far below what can be expected in a cyber-world. As a result, if citizens’ lack cyber knowledge their freedom to be and do what they reasonably value on the Internet is continually threatened. The paper, thus, suggests the introduction of rigorous citizens’ awareness campaigns on cyber-crime and security to enable them to deal with unfounded fears and experiences that potentially limit their ability to deliberate, transact or act to be and freely do what they reasonably value.",focus citizen awareness cybersecurity paper contributes debate icts contribution towards human development paper philosophically argues importance cybersecurity cybercrime awareness foster sustainable human development responsible meaningful use ict use overarch value human development framework empowerment participation sustainability paper ass government ict policy document subsequent initiative establishment community information centre integration ict education sector do establish extent citizen provide prerequisite knowledge skill deal cybercrime emerge study regardless effort government zimbabwe goz enforce law encourage cybersecurity culture awareness cybersecurity remains far expect cyberworld result citizen lack cyber knowledge freedom reasonably value internet continually threaten paper thus suggests introduction rigorous citizen awareness campaign cybercrime security enable deal unfounded fear experience potentially limit ability deliberate transact act freely reasonably value,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5838152941494251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06678150680621883,0.0,0.0,0.42375398587522245,0.0,0.0,0.0,0.3623391852675754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12779485527413292,0.11661614464335471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09590315360714724,0.0,0.0,0.11661614464335471,0.0,0.0,0.299567898661126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354847983201627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909910468747143,0.0,0.0,0.09217261375485758,0.0,0.0,0.05390342372072943,0.0,0.0,0.16918587130382326,0.0,0.0,0.0,0.08548486122925496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1408720646040632,0.0,0.0,0.0,0.0
Analysis of cyber security knowledge gaps based on cyber security body of knowledge,https://link.springer.com/article/10.1007/s10639-022-11261-8,05 August 2022,"Cagatay Catal, Alper Ozcan, Emrah Donmez, Ahmet Kasif","Due to the increasing number of cyber incidents and overwhelming skills shortage, it is required to evaluate the knowledge gap between cyber security education and industrial needs. As such, the objective of this study is to identify the knowledge gaps in cyber security graduates who join the cyber security workforce. We designed and performed an opinion survey by using the Cyber Security Knowledge Areas (KAs) specified in the Cyber Security Body of Knowledge (CyBOK) that comprises 19 KAs. Our data was gathered from practitioners who work in cyber security organizations. The knowledge gap was measured and evaluated by acknowledging the assumption for employing sequent data as nominal data and improved it by deploying chi-squared test. Analyses demonstrate that there is a gap that can be utilized to enhance the quality of education. According to acquired final results, three key KAs with the highest knowledge gap are Web and Mobile Security, Security Operations and Incident Management. Also, Cyber-Physical Systems (CPS), Software Lifecycles, and Vulnerabilities are the knowledge areas with largest difference in perception of importance between less and more experienced personnel. We discuss several suggestions to improve the cyber security curriculum in order to minimize the knowledge gaps. There is an expanding demand for executive cyber security personnel in industry. High-quality university education is required to improve the qualification of upcoming workforce. The capability and capacity of the national cyber security workforce is crucial for nations and security organizations. A wide range of skills, namely technical skills, implementation skills, management skills, and soft skills are required in new cyber security graduates. The use of each CyBOK KA in the industry was measured in response to the extent of learning in university environments. This is the first study conducted in this field, it is considered that this research can inspire the way for further researches.",due increase number cyber incident overwhelm skill shortage require evaluate knowledge gap cyber security education industrial need objective study identify knowledge gap cyber security graduate join cyber security workforce design perform opinion survey use cyber security knowledge area ka specify cyber security body knowledge cybok comprises ka data gather practitioner work cyber security organization knowledge gap measure evaluate acknowledge assumption employ sequent data nominal data improve deploy chisquared test analysis demonstrate gap utilized enhance quality education accord acquire final result three key ka high knowledge gap web mobile security security operation incident management also cyberphysical system cps software lifecycles vulnerability knowledge area large difference perception importance less experienced personnel discus several suggestion improve cyber security curriculum order minimize knowledge gap expand demand executive cyber security personnel industry highquality university education require improve qualification upcoming workforce capability capacity national cyber security workforce crucial nation security organization wide range skill namely technical skill implementation skill management skill soft skill require new cyber security graduate use cybok ka industry measure response extent learn university environment first study conduct field consider research inspire way research,0.0,0.0,0.0,0.0,0.0,0.05452787961606954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06468339064874688,0.0,0.06772197169449175,0.3493373961517579,0.0,0.05743679902482484,0.0,0.11626479097211408,0.058495387832877006,0.0,0.0,0.0,0.0,0.0,0.06200317221754891,0.06077284255110175,0.0,0.0,0.0,0.0,0.0,0.056425274464622796,0.0,0.0,0.17231039707447451,0.0,0.05115049991907296,0.12660768737753655,0.0,0.0,0.0,0.0,0.0,0.0,0.5698380486333091,0.05115049991907296,0.0,0.0,0.0,0.12660768737753655,0.11699077566575401,0.0,0.0,0.058495387832877006,0.0,0.05363539049238259,0.12936678129749377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18600951665264673,0.09121348808320923,0.0438326858403767,0.0,0.0,0.3332390461598472,0.0,0.0,0.48273803964467027,0.0,0.0,0.0,0.08130465034518258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699170935846153,0.0,0.0,0.06200317221754891,0.05452787961606954
